EXP_id	Herb/ingredient_id	Herb/ingredient_name	Herb/ingredient	GSE_id	Organism	Strain	Tissue	Cell_Type	Cell_line	Experiment_type	Sequence_type	Experiment_subject	Experiment_subject_detail	Experiment_special_pretreatment	Control_condition	Control_samples	Treatment_condition	Treatment_samples	Drug_delivery	Plat_info
HBEXP000367	HBIN026658	formaldehyde	Ingredient	GSE41296	Homo sapiens			Lymphoblast	TK6	Expression profiling by array	Total RNA	human cellline	Lymphoblast; TK6	/	control	GSM1013943; GSM1013951; GSM1013959	TK6 cells treated with 200uM formaldehyde for 4h	GSM1013941; GSM1013949; GSM1013957	treated	GPL570:[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
HBEXP000368	HBIN026658	formaldehyde	Ingredient	GSE41296	Homo sapiens			Lymphoblast	TK6	Expression profiling by array	Total RNA	human cellline	Lymphoblast; TK6	/	control	GSM1013944; GSM1013952; GSM1013960	TK6 cells treated with 50uM formaldehyde for 4h	GSM1013938; GSM1013946; GSM1013954	treated	GPL570:[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
HBEXP000369	HBIN026658	formaldehyde	Ingredient	GSE41296	Homo sapiens			Lymphoblast	TK6	Expression profiling by array	Total RNA	human cellline	Lymphoblast; TK6	/	control	GSM1013944; GSM1013952; GSM1013960	TK6 cells treated with 100uM formaldehyde for 4h	GSM1013940; GSM1013948; GSM1013956	treated	GPL570:[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
HBEXP000370	HBIN026658	formaldehyde	Ingredient	GSE41296	Homo sapiens			Lymphoblast	TK6	Expression profiling by array	Total RNA	human cellline	Lymphoblast; TK6	/	control	GSM1013944; GSM1013952; GSM1013960	TK6 cells treated with 200uM formaldehyde for 4h	GSM1013942; GSM1013950; GSM1013958	treated	GPL570:[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
HBEXP000371	HBIN026658	formaldehyde	Ingredient	GSE58348	Homo sapiens		Peripheral blood	Leukocyte		Expression profiling by array	Total RNA	human cellline	Peripheral blood; Leukocyte	/	control	GSM1408100; GSM1408101; GSM1408102; GSM1408103; GSM1408104; GSM1408105	swallowed capsules with PME containing citrus pectin (6 g)	GSM1408106; GSM1408107; GSM1408108; GSM1408109; GSM1408110; GSM1408111	swallowed	GPL10558:Illumina HumanHT-12 V4.0 expression beadchip
HBEXP000372	HBIN026658	formaldehyde	Ingredient	GSE58349	Homo sapiens		Peripheral blood	Leukocyte		Expression profiling by array	Total RNA	human cellline	Peripheral blood; Leukocyte	/	control	GSM1408112; GSM1408113; GSM1408114; GSM1408115; GSM1408116; GSM1408117	swallowed capsules with PME containing citrus pectin (6 g)	GSM1408118; GSM1408119; GSM1408120; GSM1408121; GSM1408122; GSM1408123	swallowed	GPL10558:Illumina HumanHT-12 V4.0 expression beadchip
HBEXP000373	HBIN026658	formaldehyde	Ingredient	GSE58364	Homo sapiens		Peripheral blood	Leukocyte		Expression profiling by array	Total RNA	human cellline	Peripheral blood; Leukocyte	/	control	GSM1409223; GSM1409224; GSM1409225; GSM1409226; GSM1409227; GSM1409228	swallowed capsules with PME containing citrus pectin (6 g)	GSM1409229; GSM1409230; GSM1409231; GSM1409232; GSM1409233; GSM1409234	swallowed	GPL10558:Illumina HumanHT-12 V4.0 expression beadchip
HBEXP000374	HBIN026658	formaldehyde	Ingredient	GSE76446	Homo sapiens		Epidermis	Keratinocyte		Expression profiling by array	Total RNA	human cellline	Epidermis; Keratinocyte	/	vehicle treated	GSM2024775; GSM2024776	Normal human keratinocytes (NHKs) were stimulated with 200uM of formaldehyde for 24h	GSM2024777; GSM2024778	stimulated	GPL570:[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
HBEXP000375	HBIN026658	formaldehyde	Ingredient	GSE76790	Homo sapiens			Lung cancer	A549	Expression profiling by array	Total RNA	human cellline	Lung cancer; A549	/	no formaldehyde(control)	GSM2037924; GSM2037926; GSM2037934	0.1 ppm (01 FA) in the exposure chamber and control cells in the reference chamber (co)	GSM2037927; GSM2037929; GSM2037937	treated	GPL570:[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
HBEXP000376	HBIN026658	formaldehyde	Ingredient	GSE76790	Homo sapiens			Lung cancer	A549	Expression profiling by array	Total RNA	human cellline	Lung cancer; A549	/	no formaldehyde(control)	GSM2037924; GSM2037926; GSM2037934	0.5 ppm (05FA) in the exposure chamber and control cells in the reference chamber (co)	GSM2037928; GSM2037936; GSM2037938	treated	GPL570:[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
