EXP_id	Herb/ingredient_id	Herb/ingredient_name	Herb/ingredient	GSE_id	Organism	Strain	Tissue	Cell_Type	Cell_line	Experiment_type	Sequence_type	Experiment_subject	Experiment_subject_detail	Experiment_special_pretreatment	Control_condition	Control_samples	Treatment_condition	Treatment_samples	Drug_delivery	Plat_info
HBEXP000001	HERB000016	A JIANG LAN REN;阿江榄仁;NA;Terminalia arjuna	Herb	GSE56886	Homo sapiens		Peripheral blood	PBMC		Expression profiling by array	Total RNA	human cellline	Peripheral blood; PBMC	/	control	GSM1370689; GSM1370690	treated with T.arjuna for 3 months	GSM1370687; GSM1370688	exposed	GPL15207:[PrimeView] Affymetrix Human Gene Expression Array
HBEXP000002	HERB000016	A JIANG LAN REN;阿江榄仁;NA;Terminalia arjuna	Herb	GSE56886	Homo sapiens		Peripheral blood	PBMC		Expression profiling by array	Total RNA	human cellline	Peripheral blood; PBMC	/	control	GSM1370693; GSM1370694	treated with T.arjuna for 6 months	GSM1370691; GSM1370692	exposed	GPL15207:[PrimeView] Affymetrix Human Gene Expression Array
HBEXP000003	HERB000146	BA XI HU TONG;NA;Brazilian Calaba;Calophyllum brasiliense	Herb	GSE72755	Mus musculus		Liver			Expression profiling by array	Total RNA	mouse	Liver	/	control	GSM1869530; GSM1869531; GSM1869532; GSM1869533	mammea A/BA+A/BB 3:1	GSM1869537; GSM1869538; GSM1869539	treated	GPL6246:[MoGene-1_0-st] Affymetrix Mouse Gene 1.0 ST Array [transcript (gene) version]
HBEXP000004	HERB000189	BAI GUO YE;白果叶;Ginkgo Leaf;Ginkgo biloba	Herb	GSE103208	Homo sapiens		Primary HCC cells			Expression profiling by array	Total RNA	human cellline	Primary HCC cells	/	control	GSM2757408; GSM2757410; GSM2757412	exposed to Ginkgo biloba (EGb761)	GSM2757414; GSM2757416; GSM2757418	exposed	GPL10558:Illumina HumanHT-12 V4.0 expression beadchip
HBEXP000005	HERB000189	BAI GUO YE;白果叶;Ginkgo Leaf;Ginkgo biloba	Herb	GSE103208	Homo sapiens			Hepatoma	WRL68	Expression profiling by array	Total RNA	human cellline	Hepatoma; WRL68	/	control	GSM2757409; GSM2757411; GSM2757413	exposed to Ginkgo biloba (EGb761)	GSM2757415; GSM2757417; GSM2757419	exposed	GPL10558:Illumina HumanHT-12 V4.0 expression beadchip
HBEXP000006	HERB000189	BAI GUO YE;白果叶;Ginkgo Leaf;Ginkgo biloba	Herb	GSE103208	Homo sapiens			Hepatoma	Huh7	Expression profiling by array	Total RNA	human cellline	Hepatoma; Huh7	/	control	GSM2757420; GSM2757421; GSM2757422	exposed to Ginkgo biloba (EGb761)	GSM2757423; GSM2757424; GSM2757425	exposed	GPL10558:Illumina HumanHT-12 V4.0 expression beadchip
HBEXP000007	HERB000189	BAI GUO YE;白果叶;Ginkgo Leaf;Ginkgo biloba	Herb	GSE103208	Homo sapiens			Hepatocyte	THLE5B	Expression profiling by array	Total RNA	human cellline	Hepatocyte; THLE5B	/	control	GSM2757426; GSM2757428; GSM2757430	exposed to Ginkgo biloba (EGb761)	GSM2757427; GSM2757429; GSM2757431	exposed	GPL10558:Illumina HumanHT-12 V4.0 expression beadchip
HBEXP000008	HERB000189	BAI GUO YE;白果叶;Ginkgo Leaf;Ginkgo biloba	Herb	GSE29813	Mus musculus	B6C3F1	Liver			Expression profiling by array	Total RNA	mouse	B6C3F1; Liver	/	control	GSM652414; GSM652415; GSM652416; GSM652417; GSM652418; GSM652419	induced by Ginkgo biloba leaf extract (GBE)	GSM738861; GSM738862; GSM738863; GSM738864; GSM738865; GSM738866	gavage	GPL1261:[Mouse430_2] Affymetrix Mouse Genome 430 2.0 Array
HBEXP000009	HERB000523	BO NIANG HAO;播娘蒿;Flixweed Tansymustard Seed;Descurainia sophia	Herb	GSE114586	Mus musculus	BALB/c	Lung			Expression profiling by high throughput sequencing	Total RNA	mouse	BALB/c; Lung	/	wile type (Saline)	GSM3145352; GSM3145353; GSM3145354	Descurainia sophia treated mice	GSM3145358; GSM3145359; GSM3145360; GSM3145361	treated	GPL19057:Illumina NextSeq 500 (Mus musculus)
HBEXP000010	HERB000523	BO NIANG HAO;播娘蒿;Flixweed Tansymustard Seed;Descurainia sophia	Herb	GSE114586	Mus musculus	BALB/c	Lung			Expression profiling by high throughput sequencing	Total RNA	mouse	BALB/c; Lung	/	wile type (Saline)	GSM3145355; GSM3145356; GSM3145357	Descurainia sophia treated mice	GSM3145358; GSM3145359; GSM3145360; GSM3145361	treated	GPL19057:Illumina NextSeq 500 (Mus musculus)
HBEXP000011	HERB000696	CHANG LV GOU WEN;NA;Carolina Jasmine;Gelsemium sempervirens	Herb	GSE42236	Homo sapiens			Neuroblastoma	SHSY5Y	Expression profiling by array	Total RNA	human cellline	Neuroblastoma; SHSY5Y	/	control(vehicle solution)	GSM1036053; GSM1036054; GSM1036055; GSM1036056	for 24h with 6 dilutions of the Gelsemium sempervirens extract, namely 2c	GSM1036077; GSM1036078; GSM1036079; GSM1036080	treated	GPL16025:NimbleGen Homo sapiens Expression Array [100718_HG18_opt_expr]
HBEXP000012	HERB000696	CHANG LV GOU WEN;NA;Carolina Jasmine;Gelsemium sempervirens	Herb	GSE42236	Homo sapiens			Neuroblastoma	SHSY5Y	Expression profiling by array	Total RNA	human cellline	Neuroblastoma; SHSY5Y	/	control(vehicle solution)	GSM1036057; GSM1036058; GSM1036059; GSM1036060	for 24h with 6 dilutions of the Gelsemium sempervirens extract, namely 3c	GSM1036081; GSM1036082; GSM1036083; GSM1036084	treated	GPL16025:NimbleGen Homo sapiens Expression Array [100718_HG18_opt_expr]
HBEXP000013	HERB000696	CHANG LV GOU WEN;NA;Carolina Jasmine;Gelsemium sempervirens	Herb	GSE42236	Homo sapiens			Neuroblastoma	SHSY5Y	Expression profiling by array	Total RNA	human cellline	Neuroblastoma; SHSY5Y	/	control(vehicle solution)	GSM1036061; GSM1036062; GSM1036063; GSM1036064	for 24h with 6 dilutions of the Gelsemium sempervirens extract, namely 4c	GSM1036085; GSM1036086; GSM1036087; GSM1036088	treated	GPL16025:NimbleGen Homo sapiens Expression Array [100718_HG18_opt_expr]
HBEXP000014	HERB000696	CHANG LV GOU WEN;NA;Carolina Jasmine;Gelsemium sempervirens	Herb	GSE42236	Homo sapiens			Neuroblastoma	SHSY5Y	Expression profiling by array	Total RNA	human cellline	Neuroblastoma; SHSY5Y	/	control(vehicle solution)	GSM1036065; GSM1036066; GSM1036067; GSM1036068	for 24h with 6 dilutions of the Gelsemium sempervirens extract, namely 5c	GSM1036089; GSM1036090; GSM1036091; GSM1036092	treated	GPL16025:NimbleGen Homo sapiens Expression Array [100718_HG18_opt_expr]
HBEXP000015	HERB000696	CHANG LV GOU WEN;NA;Carolina Jasmine;Gelsemium sempervirens	Herb	GSE42236	Homo sapiens			Neuroblastoma	SHSY5Y	Expression profiling by array	Total RNA	human cellline	Neuroblastoma; SHSY5Y	/	control(vehicle solution)	GSM1036069; GSM1036070; GSM1036071; GSM1036072	for 24h with 6 dilutions of the Gelsemium sempervirens extract, namely 9c	GSM1036093; GSM1036094; GSM1036095; GSM1036096	treated	GPL16025:NimbleGen Homo sapiens Expression Array [100718_HG18_opt_expr]
HBEXP000016	HERB000696	CHANG LV GOU WEN;NA;Carolina Jasmine;Gelsemium sempervirens	Herb	GSE42236	Homo sapiens			Neuroblastoma	IMR-32	Expression profiling by array	Total RNA	human cellline	Neuroblastoma; IMR-32	/	control(vehicle solution)	GSM1036104; GSM1036105; GSM1036106	for 24h with 6 dilutions of the Gelsemium sempervirens extract, namely 30c	GSM1036101; GSM1036102; GSM1036103	treated	GPL16025:NimbleGen Homo sapiens Expression Array [100718_HG18_opt_expr]
HBEXP000017	HERB000960	CU;醋;Vinegar;Vinegar	Herb	GSE70514	Mus musculus	SAMP8	Hippocampus			Expression profiling by array	Total RNA	mouse	SAMP8; Hippocampus	in independent cages and had free access to food and water.	control CE2 diet	GSM1808266; GSM1808267; GSM1808268; GSM1808269	SAMP8, Kurozu-containing CE2 diet administrated for 5 weeks	GSM1808270; GSM1808271; GSM1808272; GSM1808273	feed	GPL6246:[MoGene-1_0-st] Affymetrix Mouse Gene 1.0 ST Array [transcript (gene) version]
HBEXP000018	HERB001023	DA DOU;大豆;Soybean;Glycine max	Herb	GSE58811	Mus musculus	SAMP10	Hippocampus			Expression profiling by array	Total RNA	mouse	SAMP10; Hippocampus	/	control	GSM1419959; GSM1419960; GSM1419961	green soybean extracts for 2 days	GSM1419962; GSM1419963; GSM1419964	feed	GPL6246:[MoGene-1_0-st] Affymetrix Mouse Gene 1.0 ST Array [transcript (gene) version]
HBEXP000019	HERB001023	DA DOU;大豆;Soybean;Glycine max	Herb	GSE58811	Mus musculus	SAMP10	Hippocampus			Expression profiling by array	Total RNA	mouse	SAMP10; Hippocampus	/	control	GSM1419959; GSM1419960; GSM1419961	yellow soybean extracts for 2 days	GSM1419965; GSM1419966; GSM1419967	feed	GPL6246:[MoGene-1_0-st] Affymetrix Mouse Gene 1.0 ST Array [transcript (gene) version]
HBEXP000020	HERB001023	DA DOU;大豆;Soybean;Glycine max	Herb	GSE84442	Mus musculus	C57BL/6J	Ileum			Expression profiling by array	Total RNA	mouse	C57BL/6J; Ileum	/	control	GSM2236235; GSM2236238; GSM2236246; GSM2236249	Soybean meal (SBM) diet in 4 weeks	GSM2236234; GSM2236237; GSM2236240; GSM2236243; GSM2236251	feed	GPL11533:[MoGene-1_1-st] Affymetrix Mouse Gene 1.1 ST Array [transcript (gene) version]
HBEXP000021	HERB001104	DA SUAN;大蒜;Garlic;Bulbus Allii	Herb	GSE20093	Mus musculus	C57BL/6J	Liver			Expression profiling by array	Total RNA	mouse	C57BL/6J; Liver	/	cellulose (control)	GSM502071; GSM502072; GSM502073	4% lyophilized raw garlic powder for 6 weeks for 8-week old male C57BL/6J mice	GSM502074; GSM502075; GSM502076	feed	GPL339:[MOE430A] Affymetrix Mouse Expression 430A Array
HBEXP000022	HERB001104	DA SUAN;大蒜;Garlic;Bulbus Allii	Herb	GSE20093	Mus musculus	C57BL/6J	Liver			Expression profiling by array	Total RNA	mouse	C57BL/6J; Liver	/	cellulose (control)	GSM502077; GSM502078; GSM502079	4% lyophilized raw garlic powder for 10 weeks for 8-week old male C57BL/6J mice	GSM502080; GSM502081; GSM502082	feed	GPL339:[MOE430A] Affymetrix Mouse Expression 430A Array
HBEXP000023	HERB001104	DA SUAN;大蒜;Garlic;Bulbus Allii	Herb	GSE20094	Mus musculus	C57BL/6J	Liver			Expression profiling by array	Total RNA	mouse	C57BL/6J; Liver	/	cellulose (control)	GSM502083; GSM502084; GSM502085	15-week garlic-fed for 8-week old male C57BL/6J mice	GSM502086; GSM502087; GSM502088	feed	GPL1261:[Mouse430_2] Affymetrix Mouse Genome 430 2.0 Array
HBEXP000024	HERB001210	DANG GUI;当归;root of Chinese Angelica;Radix Angelicae sinensis	Herb	GSE89454	Mus musculus	KM	Adipose			Expression profiling by high throughput sequencing	mRNA	mouse	KM; Adipose	/	control	GSM2372426; GSM2372427; GSM2372428	Radix Angelica sinensis(RAS) supplementation 	GSM2372429; GSM2372430; GSM2372431	feed	GPL9185:Illumina Genome Analyzer (Mus musculus)
HBEXP000025	HERB001211	DANG SHEN;党参;root Pilose Asiabell;Radix Codonopsis pilosulae	Herb	GSE115506	Homo sapiens			Hepatocellular carcinoma	HepG2	Expression profiling by array	Total RNA	human cellline	Hepatocellular carcinoma; HepG2	/	control	GSM3179695; GSM3179696; GSM3179697	24h after Codonopsis pilosula (D1-3)	GSM3179698; GSM3179699; GSM3179700	treated	GPL10558:Illumina HumanHT-12 V4.0 expression beadchip
HBEXP000026	HERB001251	DI HUANG;地黄;Radix Rehmanniae;NA	Herb	GSE57273	Homo sapiens		Peripheral blood	PBMC		Expression profiling by array	Total RNA	human cellline	Peripheral blood; PBMC	/	control	GSM1378176; GSM1378177; GSM1378178	treated PMO with kidney YIN deficiency for three months with Liuwei Dihuang Pill	GSM1378179; GSM1378180; GSM1378181	treated	GPL4133:Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Feature Number version)
HBEXP000027	HERB001282	DIAN FEN;淀粉;Starch;Amylum	Herb	GSE59494	Mus musculus	C57BL/6J	Colonic mucosal scrapings			Expression profiling by array	Total RNA	mouse	C57BL/6J; Colonic mucosal scrapings	/	control	GSM1055780; GSM1055781; GSM1055782; GSM1055785; GSM1055786	10% dietary resistant starch (RS) for 10 days	GSM1438311; GSM1438312; GSM1438325; GSM1438330; GSM1438331; GSM1438332	feed	GPL11533:[MoGene-1_1-st] Affymetrix Mouse Gene 1.1 ST Array [transcript (gene) version]
HBEXP000028	HERB001333	DONG CHONG XIA CAO;冬虫夏草;Chinese Caterpillar Fungus;Cordyceps	Herb	GSE24191	Homo sapiens		Peripheral blood	Dendritic cell		Expression profiling by array	Total RNA	human cellline	Peripheral blood; Dendritic cell	/	untreated	GSM595094; GSM595104	Cordyceps sinensis (CS) 1ug/ml	GSM595069; GSM595070; GSM595098; GSM595099	treated	GPL10936:MBPL human 30k P7
HBEXP000029	HERB001382	DOU YOU;豆油;Soybean Oil;Glycine max	Herb	GSE68360	Mus musculus		Liver			Expression profiling by high throughput sequencing	mRNA	mouse	Liver	/	control(Viv)	GSM1669208; GSM1669209; GSM1669210	feed soybean oil plus coconut oil high fat diet (SO-HFD) for 35 weeks	GSM1669211; GSM1669212; GSM1669213	feed	GPL13112:Illumina HiSeq 2000 (Mus musculus)
HBEXP000030	HERB001382	DOU YOU;豆油;Soybean Oil;Glycine max	Herb	GSE71773	Mus musculus	C57BL/6	Skeletal muscle			Expression profiling by high throughput sequencing	mRNA	mouse	C57BL/6; Skeletal muscle	mice were allowed ad libitum access to food and their food intake was monitored for two weeks	control	GSM1845059; GSM1845062; GSM1845070; GSM1845078	soy for 4 months of age male C57BL/6 mice	GSM1845053; GSM1845068; GSM1845076	feed	GPL13112:Illumina HiSeq 2000 (Mus musculus)
HBEXP000031	HERB001382	DOU YOU;豆油;Soybean Oil;Glycine max	Herb	GSE71773	Mus musculus	C57BL/6	Liver			Expression profiling by high throughput sequencing	mRNA	mouse	C57BL/6; Liver	mice were allowed ad libitum access to food and their food intake was monitored for two weeks	control	GSM1845061; GSM1845069; GSM1845077	soy for 4 months of age male C57BL/6 mice	GSM1845054; GSM1845067; GSM1845075; GSM1845083	feed	GPL13112:Illumina HiSeq 2000 (Mus musculus)
HBEXP000032	HERB001382	DOU YOU;豆油;Soybean Oil;Glycine max	Herb	GSE79408	Mus musculus	129/Sv-C57BL/6	Liver			Expression profiling by high throughput sequencing	mRNA	mouse	129/Sv-C57BL/6; Liver	/	control	GSM2094879; GSM2094880; GSM2094881; GSM2094882; GSM2094883; GSM2094884	Soybean Oil	GSM2094885; GSM2094886; GSM2094887; GSM2094888; GSM2094889; GSM2094890	treated	GPL13112:Illumina HiSeq 2000 (Mus musculus)
HBEXP000033	HERB001616	FAN QIE;番茄;Tomato;Lycopersicon esculentum	Herb	GSE33443	Homo sapiens			Breast cancer	MCF-7	Expression profiling by array	Total RNA	human cellline	Breast cancer; MCF-7	/	control	GSM827016; GSM827019; GSM827022	treated with tomato leaves extract (TLE) in 1h	GSM827017; GSM827020; GSM827023	treated	GPL6244:[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
HBEXP000034	HERB001616	FAN QIE;番茄;Tomato;Lycopersicon esculentum	Herb	GSE33443	Homo sapiens			Breast cancer	MCF-7	Expression profiling by array	Total RNA	human cellline	Breast cancer; MCF-7	/	control	GSM827016; GSM827019; GSM827022	treated with tomato leaves extract (TLE) in 48h	GSM827018; GSM827021; GSM827024	treated	GPL6244:[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
HBEXP000035	HERB001616	FAN QIE;番茄;Tomato;Lycopersicon esculentum	Herb	GSE33763	Mus musculus			Embryonic stem cell	ES	Expression profiling by array	Total RNA	mouse	Embryonic stem cell; ES	/	control	GSM835190; GSM835194; GSM835198	2C::tomato ES cells from mutant ES cultures	GSM835191; GSM835195; GSM835199	treated	GPL6246:[MoGene-1_0-st] Affymetrix Mouse Gene 1.0 ST Array [transcript (gene) version]
HBEXP000036	HERB001616	FAN QIE;番茄;Tomato;Lycopersicon esculentum	Herb	GSE94548	Homo sapiens			Breast cancer	MCF-7	Expression profiling by array	Total RNA	human cellline	Breast cancer; MCF-7	/	wild type tomato fruit	GSM2478011; GSM2478012	MCF-7_Treated with WT tomato fruit extract with 1 ug/ml for 24h	GSM2478005; GSM2478006	treated	GPL15207:[PrimeView] Affymetrix Human Gene Expression Array
HBEXP000037	HERB001616	FAN QIE;番茄;Tomato;Lycopersicon esculentum	Herb	GSE94548	Homo sapiens			Breast cancer	MCF-7	Expression profiling by array	Total RNA	human cellline	Breast cancer; MCF-7	/	wild type tomato fruit	GSM2478011; GSM2478012	MCF-7_Treated with L6 tomato fruit extract with 1 ug/ml for 24h	GSM2478007; GSM2478008	treated	GPL15207:[PrimeView] Affymetrix Human Gene Expression Array
HBEXP000038	HERB001616	FAN QIE;番茄;Tomato;Lycopersicon esculentum	Herb	GSE94548	Homo sapiens			Breast cancer	MCF-7	Expression profiling by array	Total RNA	human cellline	Breast cancer; MCF-7	/	wild type tomato fruit	GSM2478011; GSM2478012	MCF-7_Treated with L7 tomato fruit extract with 1 ug/ml for 24h	GSM2478009; GSM2478010	treated	GPL15207:[PrimeView] Affymetrix Human Gene Expression Array
HBEXP000039	HERB001705	FENG JIAO;蜂胶;Propolis;Apis mellifera ligustica	Herb	GSE46110	Mus musculus	C57BL/6J	Adipose			Expression profiling by array	Total RNA	mouse	C57BL/6J; Adipose	/	vehicle control	GSM1123902; GSM1123903; GSM1123904	inhjected with Brazilian propolis ethanol extract (100mg/kg ip, twice a week) for 12 weeks	GSM1123905; GSM1123906; GSM1123907	injection	GPL10787:Agilent-028005 SurePrint G3 Mouse GE 8x60K Microarray (Probe Name version)
HBEXP000040	HERB002276	HONG HUA;红花;Safflower;Flos Carthami	Herb	GSE18586	Mus musculus	C57BL/6J	Small intestine			Expression profiling by array	Total RNA	mouse	C57BL/6J; Small intestine	Nine-week-old C57Bl/6J mice	control	GSM462270; GSM462273; GSM462276	Safflower oil (HF-SO; P/S 7.8) for 8 weeks	GSM462272; GSM462275; GSM462278	feed	GPL1261:[Mouse430_2] Affymetrix Mouse Genome 430 2.0 Array
HBEXP000041	HERB002560	HUANG QI;黄芪;root of Membranous Milkvetch;Radix Astragali	Herb	GSE70772	Homo sapiens		HCT116 colon cancer xenograft			Expression profiling by array	Total RNA	human cellline	HCT116 colon cancer xenograft	/	water 	GSM1818003; GSM1818004; GSM1818005; GSM1818006; GSM1818007; GSM1818008; GSM1818009; GSM1818010	treated with Astragalus membranaceus for 28 days	GSM1818011; GSM1818012; GSM1818013; GSM1818014; GSM1818015; GSM1818016; GSM1818017; GSM1818018	treated	GPL17586:[HTA-2_0] Affymetrix Human Transcriptome Array 2.0 [transcript (gene) version]
HBEXP000042	HERB003106	KE KE;可可;Cocoa;Theobroma cacao	Herb	GSE102895	Homo sapiens		Peripheral blood	Dendritic cell		Expression profiling by array	Total RNA	human cellline	Peripheral blood; Dendritic cell	/	control	GSM2747889; GSM2747890; GSM2747891	treated with Cocoa procyanidins for 6h	GSM2747892; GSM2747893; GSM2747894	treated	GPL10904:Illumina HumanHT-12 V4.0 expression beadchip (gene symbol)
HBEXP000043	HERB003361	LIAN QIAO;连翘;Weeping Forsythia Capsule;Fructus Forsythiae	Herb	GSE20389	Mus musculus		Soft tissue overlying calvarial bone			Expression profiling by array	Total RNA	mouse	Soft tissue overlying calvarial bone	/	vehicle control	GSM463608; GSM463609; GSM463610; GSM463611; GSM463612	injected T. forsythia at 1.5 x 109 (N = 10) fro 3 days in bone	GSM511102; GSM511103; GSM511104; GSM511105; GSM511106	injected into the soft tissues overlying the calvaria	GPL339:[MOE430A] Affymetrix Mouse Expression 430A Array
HBEXP000044	HERB003361	LIAN QIAO;连翘;Weeping Forsythia Capsule;Fructus Forsythiae	Herb	GSE20389	Mus musculus		Calvarial bone			Expression profiling by array	Total RNA	mouse	Calvarial bone	/	vehicle control	GSM463618; GSM463619; GSM463620; GSM463621	injected T. forsythia at 1.5 x 109 (N = 10) fro 3 days in soft tissue	GSM511107; GSM511108; GSM511109	injected into the soft tissues overlying the calvaria	GPL339:[MOE430A] Affymetrix Mouse Expression 430A Array
HBEXP000045	HERB003444	LING ZHI;灵芝;Lucid Ganoderma;Ganoderma Lucidum seu Japonicum	Herb	GSE117503	Mus musculus			Hepatoma	Hepa1-6	Expression profiling by array	Total RNA	mouse	Hepatoma; Hepa1-6	/	control	GSM3302001; GSM3302002; GSM3302003	treated with Ganoderma lucidum extract (GLE) for Hepa1-6-bearing C57 BL/6 mice	GSM3302004; GSM3302005; GSM3302006	treated	GPL21994:Agilent-049801 Custom Mouse lncRNA 4*180K array
HBEXP000046	HERB003617	LV CHA;绿茶;Green Tea;Folium camelliae sinensis	Herb	GSE77964	Mus musculus	C57BL/6	Liver			Expression profiling by array	Total RNA	mouse	C57BL/6; Liver	/	control	GSM2062641; GSM2062642; GSM2062643	treated with Green Tea for liver tissues of treated NAFLD	GSM2062648; GSM2062649; GSM2062650	treated	GPL20964:Agilent-028005 Whole Genome Mouse 8x60k Array (Probe name version)
HBEXP000047	HERB003617	LV CHA;绿茶;Green Tea;Folium camelliae sinensis	Herb	GSE86080	Mus musculus	C57BL/6J	Epididymal adipose			Expression profiling by high throughput sequencing	mRNA	mouse	C57BL/6J; Epididymal adipose	/	control	GSM2293225; GSM2293226; GSM2293227	green tea extract added high-fat diet-fed	GSM2293228; GSM2293229; GSM2293230	feed	GPL17021:Illumina HiSeq 2500 (Mus musculus)
HBEXP000048	HERB003617	LV CHA;绿茶;Green Tea;Folium camelliae sinensis	Herb	GSE86080	Mus musculus	C57BL/6J	Liver			Expression profiling by high throughput sequencing	mRNA	mouse	C57BL/6J; Liver	/	control	GSM2293234; GSM2293235; GSM2293236	green tea extract added high-fat diet-fed	GSM2293237; GSM2293238; GSM2293239	feed	GPL17021:Illumina HiSeq 2500 (Mus musculus)
HBEXP000049	HERB003748	MANG XIAO;芒硝;Sodium Sulfate;Natrii Sulfas1	Herb	GSE57533	Mus musculus		Colon	Epithelial cell		Expression profiling by high throughput sequencing	mRNA	mouse	Colon; Epithelial cell	/	control	GSM1384318; GSM1384319; GSM1384320	induced by applying dextran sodium sulfate (DSS)	GSM1384321; GSM1384322; GSM1384323; GSM1384324	treated	GPL13112:Illumina HiSeq 2000 (Mus musculus)
HBEXP000050	HERB003790	MAO HUA MI HOU TAO;毛花猕猴桃;Hairyflower Actinidia;Actinidia eriantha	Herb	GSE120832	Mus musculus			Macrophage	RAW 264.7	Expression profiling by array	Total RNA	mouse	Macrophage; RAW 264.7	/	control	GSM3416533; GSM3416534; GSM3416535	treated with Actinidia eriantha (AEPS) 50 ug/ml for 4h	GSM3416536; GSM3416537; GSM3416538	treated	GPL10787:Agilent-028005 SurePrint G3 Mouse GE 8x60K Microarray (Probe Name version)
HBEXP000051	HERB004280	OU ZHOU JUE;欧洲蕨;Bracken;Pteridium aquilinum	Herb	GSE31991	Mus musculus	C57BL/6	Gastric mucosa			Expression profiling by array	Total RNA	mouse	C57BL/6; Gastric mucosa	/	control	GSM792379; GSM792380; GSM792381	treated with Bracken fern extract	GSM792382; GSM792383; GSM792384	treated	GPL11098:[Glyco_v4_Mm] Affymetrix Glyco v4 GeneChip
HBEXP000052	HERB004899	SHAN JIN CHE;山金车;Mountain Tobacco;Arnica montana	Herb	GSE77382	Homo sapiens			Acute monocytic leukemia	THP1	Expression profiling by high throughput sequencing	mRNA	human cellline	Acute monocytic leukemia; THP1	/	control	GSM2051122; GSM2051123; GSM2051124; GSM2051125; GSM2051126	Arnica m. centesimal (c) dilution 2c	GSM2051127; GSM2051128; GSM2051129; GSM2051130; GSM2051131	treated	GPL18573:Illumina NextSeq 500 (Homo sapiens)
HBEXP000053	HERB005109	SHI ZI;柿子;Persimmon;Diospyros kaki	Herb	GSE67573	Mus musculus	KK-Ay	Liver			Expression profiling by array	Total RNA	mouse	KK-Ay; Liver	individually housed in plastic cages and maintained at 22 ± 1°C under a 12-h light/dark cycle (lights on from 08:00 to 20:00 daily)	control	GSM1649881; GSM1649882; GSM1649883; GSM1649884	fed a commercial diet containing 1 g/kg of persimmon peel (PP) extract extract for 8 weeks	GSM1649885; GSM1649886; GSM1649887; GSM1649888	feed	GPL1261:[Mouse430_2] Affymetrix Mouse Genome 430 2.0 Array
HBEXP000054	HERB005147	SHUANG BAO MO GU;双孢蘑菇;Bispore Mushroom;Agaricus bisporus	Herb	GSE31854	Mus musculus	C57BL/6J	Liver			Expression profiling by array	Total RNA	mouse	C57BL/6J; Liver	ovariectomized mice	control	GSM790048; GSM790049; GSM790050; GSM790051	fed WBM diet for 3 month	GSM790052; GSM790053; GSM790054; GSM790055	feed	GPL6246:[MoGene-1_0-st] Affymetrix Mouse Gene 1.0 ST Array [transcript (gene) version]
HBEXP000055	HERB005394	TAN XIANG YOU;檀香油;Oleum Santali albi;NA	Herb	GSE106734	Homo sapiens		Skin			Expression profiling by array	Total RNA	human cellline	Skin	/	control	GSM2849580; GSM2849581; GSM2849582	sandalwood oil (2%) 9h	GSM2849592; GSM2849593; GSM2849594	treated	GPL16699:Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381 (Feature Number version)
HBEXP000056	HERB005394	TAN XIANG YOU;檀香油;Oleum Santali albi;NA	Herb	GSE106734	Homo sapiens		Skin			Expression profiling by array	Total RNA	human cellline	Skin	/	control	GSM2849580; GSM2849581; GSM2849582	sandalwood oil (2%) 24h	GSM2849595; GSM2849596	treated	GPL16699:Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381 (Feature Number version)
HBEXP000057	HERB005394	TAN XIANG YOU;檀香油;Oleum Santali albi;NA	Herb	GSE106734	Homo sapiens		Skin			Expression profiling by array	Total RNA	human cellline	Skin	/	control	GSM2849583; GSM2849584; GSM2849585	sandalwood oil (0.4%) 9h	GSM2849597; GSM2849598; GSM2849599	treated	GPL16699:Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381 (Feature Number version)
HBEXP000058	HERB005394	TAN XIANG YOU;檀香油;Oleum Santali albi;NA	Herb	GSE106734	Homo sapiens		Skin			Expression profiling by array	Total RNA	human cellline	Skin	/	control	GSM2849583; GSM2849584; GSM2849585	sandalwood oil (0.4%) 24h	GSM2849600; GSM2849601; GSM2849602	treated	GPL16699:Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381 (Feature Number version)
HBEXP000059	HERB005427	TI MU CAO;梯牧草;Timothy;Phleum pratense	Herb	GSE43497	Homo sapiens		Peripheral blood	CD4+ T cell		Expression profiling by array	Total RNA	human cellline	Peripheral blood; CD4+ T cell	/	control at time Base	GSM1064180; GSM1064188; GSM1064194; GSM1064202; GSM1064210; GSM1064218; GSM1064226; GSM1064234; GSM1064242; GSM1064250; GSM1064258; GSM1064266	timothy grass pollen at time Base	GSM1064176; GSM1064184; GSM1064190; GSM1064198; GSM1064206; GSM1064214; GSM1064222; GSM1064230; GSM1064238; GSM1064246; GSM1064254; GSM1064262	treated	GPL6244:[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
