Herb_,Herb_cn_name,segmented_function,segmented_indication
HERB000189,白果叶,[],[]
HERB000190,白果紫草,[],[]
HERB000191,白蒿,[],[]
HERB000192,百合,[],[]
HERB000193,百合花,[],[]
HERB000194,白鹤灵芝,[],[]
HERB000195,百合子,[],[]
HERB000196,白鹤乌头,[],[]
HERB000197,白花菜子,[],[]
HERB000198,白花丹,[],[]
HERB000199,白花丹参,[],[]
HERB000200,百花蜂斗菜,[],[]
HERB000201,白花甘西鼠尾草,[],[]
HERB000202,百花蒿,[],[]
HERB000203,白花爵床,[],[]
HERB000204,白花龙胆,[],[]
HERB000205,白花前胡,[],[]
HERB000206,白花蛇,[],[]
HERB000207,白花射干,[],[]
HERB000208,白花蛇舌草,[],[]
HERB000209,白花水飞蓟,[],[]
HERB000210,白花藤,[],[]
HERB000211,白花夏枯草,[],[]
HERB000212,白花夏至草,[],[]
HERB000213,白花映山红,[],[]
HERB000214,白花罂粟,[],[]
HERB000215,白花油麻藤,[],[]
HERB000216,白及,[],[]
HERB000217,白蒺藜,[],[]
HERB000218,白坚木,[],[]
HERB000219,败酱,[],[]
HERB000220,白僵蚕,[],[]
HERB000221,败酱草,[],[]
HERB000222,白胶香,[],[]
HERB000223,白芥,[],[]
HERB000224,白桔梗,[],"['expectoration.2', 'antipyretic.3']"
HERB000225,白芥子,[],[]
HERB000226,白槿花,[],[]
HERB000227,白菊花根,[],[]
HERB000228,白蜡树,[],[]
HERB000229,,[],[]
HERB000230,白兰根,[],[]
HERB000231,白兰花,[],[]
HERB000232,白藜芦醇,[],[]
HERB000233,百里香 ,[],[]
HERB000234,百里香酚,[],[]
HERB000235,,[],[]
HERB000236,,[],[]
HERB000237,白蔹,[],[]
HERB000238,白蔹子,[],[]
HERB000239,百两金,[],[]
HERB000240,白萝卜清膏,[],[]
HERB000241,白马骨,[],[]
HERB000242,白茅根,[],[]
HERB000243,白茅根,[],[]
HERB000244,白茅根,[],[]
HERB000245,白茅根,[],[]
HERB000246,白毛藤,[],[]
HERB000247,白毛夏枯草,[],[]
HERB000248,,[],[]
HERB000249,白梅花,[],[]
HERB000250,白木通,[],[]
HERB000251,白木通根,[],[]
HERB000252,白木乌桕,[],[]
HERB000253,白木香,[],[]
HERB000254,白牛胆,[],[]
HERB000255,白牛膝,[],[]
HERB000256,白皮松,[],[]
HERB000257,白前,[],[]
HERB000258,白千层,[],[]
HERB000259,白屈菜,[],[]
HERB000260,白屈菜根,[],[]
HERB000261,百日草,[],[]
HERB000262,百日青,[],[]
HERB000263,白柔毛香茶菜,[],[]
HERB000264,百蕊草,[],[]
HERB000265,白散沫花,[],[]
HERB000266,,[],[]
HERB000267,白芍,[],[]
HERB000268,白芍药,[],[]
HERB000269,白舌根,[],[]
HERB000270,,[],[]
HERB000271,白首乌,[],[]
HERB000272,白鼠狼,[],[]
HERB000273,柏树叶,[],[]
HERB000274,白水仙,[],[]
HERB000275,,[],[]
HERB000276,白苏梗,[],[]
HERB000277,白苏叶,[],[]
HERB000278,白苏子,[],[]
HERB000279,百岁叶,[],[]
HERB000280,,[],[]
HERB000281,白头翁,[],[]
HERB000282,白头翁花,[],[]
HERB000283,白头翁叶,[],[]
HERB000284,白土苓,[],[]
HERB000285,白薇,[],[]
HERB000286,白鲜皮,[],[]
HERB000287,白鲜树,[],[]
HERB000288,白香草木樨,[],[]
HERB000289,白鲜根,[],[]
HERB000290,,[],[]
HERB000291,白亚麻,[],[]
HERB000292,百眼藤,[],[]
HERB000293,白药子,[],[]
HERB000294,白叶瓜馥木,[],[]
HERB000295,,[],[]
HERB000296,白叶莓,[],[]
HERB000297,白夜米仔兰,[],[]
HERB000298,白叶藤,[],[]
HERB000299,白叶香茶菜,[],[]
HERB000300,白罂粟,[],[]
HERB000301,,[],[]
HERB000302,白玉兰,[],[]
HERB000303,白羽扇豆,[],[]
HERB000304,白芸花,[],[]
HERB000305,白芷,[],[]
HERB000306,柏枝节,[],[]
HERB000307,白芝麻,[],[]
HERB000308,白芷叶,[],[]
HERB000309,白术,[],[]
HERB000310,白竹鼠,[],[]
HERB000311,柏子仁,[],[]
HERB000312,半边莲,[],[]
HERB000313,,[],[]
HERB000314,半边苏,[],[]
HERB000315,斑地锦,[],[]
HERB000316,,[],[]
HERB000317,,[],[]
HERB000318,,[],[]
HERB000319,斑鸠,[],[]
HERB000320,斑鸠菊,[],[]
HERB000321,,[],[]
HERB000322,,[],[]
HERB000323,板蓝根,[],[]
HERB000324,板栗,[],[]
HERB000325,斑蝥,[],[]
HERB000326,,[],[]
HERB000327,瓣蕊唐松草,[],[]
HERB000328,,[],[]
HERB000329,斑纹芦荟,[],[]
HERB000330,半夏,[],[]
HERB000331,半夏曲,[],[]
HERB000332,斑叶地锦,[],[]
HERB000333,斑叶萍蓬草,[],[]
HERB000334,斑叶萍蓬草,[],[]
HERB000335,,[],[]
HERB000336,半月形铁线蕨,[],[]
HERB000337,,[],[]
HERB000338,半枝莲,[],[]
HERB000339,斑子麻黄,[],[]
HERB000340,,[],[]
HERB000341,,[],[]
HERB000342,榜嘎,[],[]
HERB000343,棒叶蕨藻,[],[]
HERB000344,,[],[]
HERB000345,,[],[]
HERB000346,报春花,[],[]
HERB000347,报春石斛,[],[]
HERB000348,,[],[]
HERB000349,宝盖草,[],[]
HERB000350,宝盖灵芝,[],[]
HERB000351,保肝浸膏,[],[]
HERB000352,豹骨,[],[]
HERB000353,抱茎苦荬菜,[],[]
HERB000354,,[],[]
HERB000355,抱茎獐牙菜,[],[]
HERB000356,暴马子,[],[]
HERB000357,毛豆,[],[]
HERB000358,,[],[]
